,location,total_sqft,bath,price,bhk,encoded_loc
167,others,1207.0,2,43.5,2,230
168,Kammasandra,1595.0,3,65.0,3,125
169,others,1798.0,3,89.0,3,230
170,Electronics City Phase 1,1475.0,3,78.29,3,76
171,others,1580.0,3,100.0,3,230
172,Dasarahalli,1295.0,2,65.0,2,64
173,Magadi Road,3600.0,6,141.0,6,155
174,Electronic City,589.0,1,27.0,1,74
175,others,1415.0,3,78.0,3,230
176,Sarjapur  Road,1787.0,3,98.29,3,194
177,Sarjapur  Road,1787.0,3,125.0,3,194
178,Koramangala,1475.0,2,90.0,3,144
179,others,2000.0,4,75.5,4,230
180,Sarjapur  Road,984.0,2,44.28,2,194
181,Devanahalli,1630.0,0,74.82,3,65
182,7th Phase JP Nagar,1080.0,2,72.0,2,6
183,others,1500.0,2,115.0,2,230
184,Hebbal,1900.0,3,119.0,3,92
185,Budigere,1153.0,2,56.4,2,52
186,others,1148.0,2,60.0,2,230
187,others,1110.0,2,55.0,2,230
188,Electronic City,1100.0,2,42.0,2,74
189,others,1500.0,2,65.0,3,230
190,others,1080.0,2,39.0,2,230
191,Vijayanagar,1933.0,3,129.0,3,220
192,Ramamurthy Nagar,3500.0,5,150.0,5,188
193,others,1060.0,2,60.0,2,230
194,others,2600.0,8,180.0,8,230
195,others,1644.0,3,84.0,3,230
196,others,1285.0,2,72.5,2,230
197,Electronic City,1200.0,3,90.0,3,74
198,Electronic City,910.0,2,40.0,2,74
199,Kothanur,1577.0,3,70.0,3,146
200,others,4050.0,3,280.0,3,230
201,OMBR Layout,2420.0,3,185.0,3,175
202,others,1060.0,2,55.0,2,230
203,7th Phase JP Nagar,1270.0,2,93.0,2,6
204,others,1280.0,2,69.0,2,230
205,Sarjapur  Road,1025.0,2,36.0,2,194
206,Electronic City,1108.0,2,63.0,2,74
207,others,3045.0,3,170.0,3,230
208,Vijayanagar,1500.0,3,75.5,3,220
209,Raja Rajeshwari Nagar,1295.0,2,43.9,2,184
210,Budigere,1162.0,2,59.9,2,52
211,Sarjapur  Road,1035.0,2,49.2,2,194
212,Attibele,1600.0,4,52.8,4,21
213,others,1464.0,3,46.0,3,230
214,Hennur Road,1866.0,2,61.58,3,96
215,others,700.0,1,26.0,2,230
216,Kalena Agrahara,1804.0,3,120.0,3,121
217,Sarjapur,913.0,2,32.0,2,193
218,Talaghattapura,1868.0,3,131.0,3,208
219,Kengeri Satellite Town,883.0,2,45.0,2,136
220,Kogilu,1664.0,2,73.95,3,142
221,Hegde Nagar,2026.0,3,132.0,3,94
222,Balagere,1210.0,2,80.9,2,25
223,others,4111.0,4,250.0,4,230
224,Kadugodi,1762.0,3,91.45,3,117
225,Jigani,1252.0,3,55.0,3,113
226,Gollarapalya Hosahalli,861.0,2,34.5,2,81
227,7th Phase JP Nagar,1420.0,2,100.0,3,6
228,Electronics City Phase 1,1490.0,3,78.8,3,76
229,Bisuvanahalli,1075.0,2,46.0,3,46
230,Old Madras Road,1425.0,2,94.0,3,177
231,Kalena Agrahara,1200.0,2,40.0,2,121
232,Kaggadasapura,1280.0,2,56.0,3,118
233,others,1084.0,2,50.0,2,230
234,Kanakpura Road,1017.0,2,51.25,2,127
235,Haralur Road,1027.0,2,44.0,2,90
236,Electronic City Phase II,1069.0,2,45.0,2,75
237,Hebbal,1349.0,2,98.2,2,92
238,9th Phase JP Nagar,1005.0,2,50.0,2,8
239,Jakkur,1417.0,2,75.0,2,110
240,TC Palaya,1475.0,3,98.0,3,207
241,others,950.0,2,47.0,2,230
242,others,2000.0,4,120.0,4,230
243,Sarjapur  Road,1863.0,3,104.0,4,194
244,Singasandra,1010.0,2,29.5,2,201
245,Kalena Agrahara,1425.0,2,70.0,3,121
246,Vijayanagar,1450.0,3,100.0,3,220
247,Kothanur,1847.0,3,105.0,3,146
248,AECS Layout,1100.0,2,45.0,2,9
249,Kanakpura Road,525.0,1,26.0,1,127
250,Mallasandra,1665.0,3,95.0,3,158
251,Begur,1664.0,4,65.0,4,38
252,JP Nagar,1850.0,3,150.0,3,109
253,Panathur,1438.0,2,100.0,2,180
254,others,1560.0,3,115.0,3,230
255,Yelahanka,1350.0,2,55.55,2,226
256,Kanakpura Road,1550.0,3,67.0,3,127
257,Malleshpalya,1140.0,2,46.5,2,159
258,others,850.0,2,27.0,2,230
259,Whitefield,1280.0,2,75.0,2,224
260,Munnekollal,1170.0,2,52.0,2,164
261,others,1113.0,2,51.0,2,230
262,Hennur Road,1385.0,2,83.09,2,96
263,Electronic City,1128.0,2,65.0,2,74
264,Haralur Road,1464.0,3,56.0,3,90
265,others,1200.0,2,55.0,2,230
266,Kaval Byrasandra,1200.0,2,52.0,2,133
267,Kaggalipura,1150.0,2,55.0,3,119
268,others,1645.0,3,95.0,3,230
269,Sarjapur  Road,1000.0,2,67.0,2,194
270,Haralur Road,2650.0,4,198.0,4,90
271,6th Phase JP Nagar,1192.0,2,74.0,2,5
272,Whitefield,1173.0,2,58.0,2,224
273,Uttarahalli,1020.0,2,45.0,2,216
274,Thigalarapalya,3122.0,6,230.0,4,210
275,Somasundara Palya,1600.0,3,64.0,3,202
276,others,1200.0,2,79.0,2,230
277,others,1230.0,2,48.0,2,230
278,Devarachikkanahalli,1250.0,2,40.0,2,66
279,Kalena Agrahara,1325.0,2,76.0,2,121
280,7th Phase JP Nagar,1850.0,3,150.0,3,6
281,Kanakpura Road,525.0,0,21.53,1,127
282,Basaveshwara Nagar,1200.0,2,65.0,2,36
283,Bommasandra,1260.0,3,49.36,3,48
284,Ardendale,1100.0,2,43.25,2,19
285,Harlur,1508.0,2,77.0,2,91
286,others,1592.0,3,75.0,3,230
287,Akshaya Nagar,1388.0,2,57.0,2,11
288,Electronic City Phase II,630.0,1,28.35,1,75
289,others,1762.0,3,125.0,3,230
290,others,950.0,2,50.0,2,230
291,Magadi Road,1116.0,2,50.0,2,155
292,others,1308.0,2,89.04,2,230
293,others,1200.0,3,90.0,3,230
294,Bannerghatta Road,500.0,1,18.5,1,34
295,Hennur,1075.0,2,52.0,2,95
296,Bellandur,1205.0,2,66.0,2,40
297,5th Phase JP Nagar,1075.0,2,60.0,2,4
298,KR Puram,930.0,2,39.0,2,115
299,Balagere,1380.0,2,60.0,2,25
300,Kodigehaali,1166.0,2,55.0,2,139
301,Bannerghatta Road,1050.0,2,65.0,2,34
302,Begur Road,1200.0,2,46.8,2,39
303,Lakshminarayana Pura,1600.0,2,108.0,3,153
304,Billekahalli,1935.0,3,110.0,3,44
305,8th Phase JP Nagar,451.0,1,29.9,1,7
306,Electronic City,1800.0,3,95.0,3,74
307,Jalahalli,1400.0,3,77.0,3,111
308,Hegde Nagar,1801.0,3,115.0,3,94
309,Mahadevpura,1451.0,2,90.0,2,156
310,Anekal,1200.0,1,36.0,2,17
311,Begur Road,1160.0,2,44.0,2,39
312,Kanakpura Road,950.0,2,40.0,2,127
313,others,1629.0,3,79.0,3,230
314,Vijayanagar,1826.0,3,121.0,3,220
315,7th Phase JP Nagar,1245.0,2,94.0,2,6
316,Raja Rajeshwari Nagar,1145.0,2,45.79,2,184
317,Sompura,825.0,2,33.0,2,203
318,Yeshwanthpur,1693.0,3,108.0,3,229
319,Electronics City Phase 1,1113.27,2,53.0,2,76
320,others,1460.0,2,58.0,2,230
321,Doddathoguru,1050.0,2,32.0,2,70
322,Dodda Nekkundi,1260.0,2,55.0,2,67
323,Hosur Road,1656.0,2,120.0,2,104
324,Chandapura,1208.0,3,45.0,3,55
325,Whitefield,3252.0,4,230.0,4,224
326,Battarahalli,1200.0,2,65.0,2,37
327,7th Phase JP Nagar,1175.0,2,82.0,2,6
328,others,1185.0,2,38.0,2,230
329,Kengeri,750.0,2,38.0,2,135
330,Kanakpura Road,1550.0,3,64.5,3,127
331,others,1760.0,3,88.0,3,230
332,Billekahalli,1125.0,2,62.0,2,44
333,Anandapura,1000.0,2,55.0,2,15
334,TC Palaya,1200.0,2,60.0,2,207
335,Budigere,1991.0,4,103.0,3,52
336,Ambalipura,1105.0,2,75.0,2,12
337,Hoodi,985.0,2,67.0,2,97
338,Balagere,1590.0,3,79.0,3,25
339,CV Raman Nagar,1120.0,2,55.0,2,53
340,others,1069.0,2,55.0,2,230
341,Marathahalli,1933.0,3,140.0,3,161
342,Hosur Road,1194.0,2,69.0,2,104
343,Brookefield,1150.0,2,69.0,2,51
344,Yelenahalli,1240.0,2,47.12,2,228
345,Raja Rajeshwari Nagar,1419.0,2,48.1,2,184
346,others,1450.0,3,55.0,3,230
347,others,1630.0,3,68.29,3,230
348,Dasanapura,708.0,1,40.0,2,63
349,Whitefield,11890.0,4,700.0,4,224
350,Bellandur,1250.0,2,76.0,2,40
351,7th Phase JP Nagar,1400.0,2,95.0,3,6
352,Sarjapur  Road,1670.0,2,57.0,3,194
353,Ardendale,1750.0,3,100.0,3,19
354,Vittasandra,1404.0,2,71.0,2,223
355,Hoodi,1715.0,2,95.0,3,97
356,Electronic City,630.0,1,34.65,1,74
357,Harlur,1752.12,3,135.0,3,91
358,Hulimavu,1650.0,3,78.0,3,105
359,Raja Rajeshwari Nagar,1295.0,2,55.47,2,184
360,Sarjapur  Road,1346.0,2,74.03,2,194
361,Hormavu,1150.0,2,55.0,2,100
362,AECS Layout,1620.0,3,98.0,3,9
363,Marathahalli,950.0,2,46.96,2,161
364,others,5000.0,9,360.0,11,230
365,Harlur,2450.0,3,120.0,3,91
366,others,850.0,2,30.0,2,230
367,Padmanabhanagar,1020.0,2,63.0,2,178
368,Chikkalasandra,1100.0,2,50.0,2,59
369,Hebbal,1760.0,2,130.0,3,92
370,Ambalipura,1800.0,3,110.0,3,12
371,Akshaya Nagar,1070.0,2,54.0,2,11
372,Vidyaranyapura,1440.0,2,95.0,2,219
373,Amruthahalli,900.0,2,40.0,2,14
374,Whitefield,1130.0,2,42.16,2,224
375,Kodigehalli,1270.0,2,98.0,2,140
376,others,1200.0,2,62.0,2,230
377,others,4800.0,4,235.0,4,230
378,others,1200.0,2,74.0,2,230
379,Subramanyapura,929.0,2,50.17,2,205
380,others,1464.0,3,56.0,3,230
381,others,2000.0,4,99.0,4,230
382,Chikkalasandra,1208.0,2,49.0,2,59
383,Hebbal Kempapura,1130.0,2,60.0,2,93
384,others,1753.0,3,120.0,3,230
385,Old Madras Road,4500.0,7,337.0,5,177
386,Hoodi,1196.0,2,94.42,2,97
387,5th Phase JP Nagar,1150.0,3,52.5,2,4
388,Electronic City,1128.0,2,63.0,2,74
389,others,1000.0,2,53.0,2,230
390,Yelahanka,1035.0,2,45.0,2,226
391,Kereguddadahalli,950.0,2,32.0,2,137
392,Bisuvanahalli,1075.0,2,36.0,3,46
393,Whitefield,1040.0,2,48.5,2,224
394,others,720.0,2,45.0,2,230
395,Lingadheeranahalli,1511.0,3,95.0,3,154
396,others,1300.0,3,58.0,3,230
397,Hoodi,1545.0,3,68.75,3,97
398,Shampura,375.0,2,26.0,1,199
399,Vidyaranyapura,1062.0,2,38.0,2,219
400,others,1115.0,2,40.0,2,230
401,JP Nagar,1000.0,2,35.0,2,109
402,Kambipura,883.0,2,45.0,2,123
403,Sarjapur  Road,1195.0,2,70.0,2,194
404,others,700.0,1,41.0,1,230
405,Vittasandra,1246.0,2,67.0,2,223
406,others,1600.0,4,80.0,4,230
407,Haralur Road,2805.0,5,154.0,4,90
408,Begur Road,1584.0,3,65.0,3,39
409,Hosur Road,1175.0,2,48.0,3,104
410,others,1595.0,3,115.0,3,230
411,others,1353.0,2,110.0,2,230
412,Electronic City,1599.0,3,125.0,3,74
413,Whitefield,1150.0,2,70.0,2,224
414,KR Puram,1155.0,2,42.74,2,115
415,others,1200.0,2,85.0,1,230
416,Thanisandra,3000.0,4,120.0,4,209
417,Ramagondanahalli,1251.0,2,47.0,2,187
418,others,1028.0,2,45.5,2,230
419,Arekere,1222.0,2,45.0,2,20
420,Bannerghatta Road,1170.0,2,66.0,3,34
421,others,1385.0,2,48.48,3,230
422,HSR Layout,1372.0,2,68.0,2,89
423,Magadi Road,1282.0,2,49.0,3,155
424,Mico Layout,5000.0,9,210.0,9,163
425,Kanakpura Road,1135.0,2,39.73,2,127
426,Whitefield,1768.0,3,101.0,3,224
427,others,1325.0,2,90.0,3,230
428,Electronic City,1599.0,3,99.0,3,74
429,Whitefield,1500.0,3,61.95,3,224
430,Uttarahalli,1286.0,2,63.0,2,216
431,Kammanahalli,2845.0,5,140.0,5,124
432,others,1600.0,2,50.0,3,230
433,Hennur Road,1317.5,2,63.77,2,96
434,Hebbal,3450.0,5,260.0,3,92
435,Munnekollal,1102.0,2,53.67,2,164
436,Yelahanka,1350.0,2,54.0,2,226
437,Banashankari,1200.0,2,42.0,3,26
438,others,1800.0,1,80.0,2,230
439,Chikkabanavar,950.0,2,40.0,2,58
440,Kanakpura Road,525.0,1,27.25,1,127
441,Attibele,656.0,2,25.0,2,21
442,others,1056.0,2,80.0,2,230
443,Bannerghatta Road,595.0,1,33.32,1,34
444,others,1080.0,2,50.0,2,230
445,7th Phase JP Nagar,2225.0,3,160.0,3,6
446,Electronics City Phase 1,1490.0,3,84.0,3,76
447,Sarjapur  Road,1550.0,3,100.0,3,194
448,Sarjapur  Road,1600.0,3,86.0,3,194
449,others,1160.0,2,55.0,2,230
450,Whitefield,4144.0,4,315.0,4,224
451,Sarjapur  Road,2100.0,3,125.0,3,194
452,Vittasandra,1404.0,2,69.3,2,223
453,others,1544.0,3,120.0,3,230
454,Banashankari Stage III,1305.0,2,58.7,3,28
455,Marathahalli,1230.0,2,80.0,2,161
456,others,1200.0,2,65.0,2,230
457,Harlur,1460.0,3,73.0,3,91
458,Gottigere,967.0,2,45.0,2,82
459,others,540.0,1,36.0,1,230
460,Hormavu,715.0,1,46.0,1,100
461,Mysore Road,1020.0,2,48.95,2,166
462,Jigani,1020.0,2,40.0,2,113
463,Koramangala,1253.0,2,102.0,2,144
464,others,1180.0,2,42.0,2,230
465,Nehru Nagar,961.0,2,38.0,2,174
466,Kanakapura,1419.0,3,75.0,3,126
467,others,1600.0,2,115.0,2,230
468,others,416.0,1,18.5,1,230
469,HSR Layout,1430.0,2,65.0,3,89
470,others,1260.0,2,45.0,2,230
471,others,1630.0,3,85.0,3,230
472,Sarjapur  Road,1249.0,3,44.71,3,194
473,Kalena Agrahara,1450.0,2,85.0,3,121
474,Konanakunte,2791.0,3,223.0,3,143
475,others,834.0,1,60.0,1,230
476,others,1125.0,4,70.0,3,230
477,Arekere,2060.0,3,140.0,3,20
478,Raja Rajeshwari Nagar,1133.0,2,49.07,2,184
479,Bisuvanahalli,1075.0,2,37.0,3,46
480,Vidyaranyapura,1200.0,2,55.0,2,219
481,Thanisandra,1075.0,2,45.8,2,209
482,Kaggadasapura,1140.0,2,40.0,2,118
483,Raja Rajeshwari Nagar,1090.0,2,42.0,2,184
484,R.T. Nagar,1500.0,4,70.0,4,182
485,Whitefield,1790.0,3,100.0,3,224
486,Hebbal,1920.0,3,134.0,3,92
487,HRBR Layout,1374.0,2,95.0,2,88
488,Bannerghatta Road,1445.0,3,95.0,3,34
489,Kanakapura,711.0,1,36.0,1,126
490,Tumkur Road,1500.0,3,95.0,3,214
491,Whitefield,1720.0,3,100.0,3,224
492,others,1400.0,3,60.0,3,230
493,Kundalahalli,1030.0,2,49.0,2,150
494,Mysore Road,1200.0,2,85.0,2,166
495,others,1375.0,3,70.0,3,230
496,Hegde Nagar,1050.0,1,56.0,2,94
497,Jalahalli,2250.0,3,160.0,3,111
498,Bellandur,1000.0,2,50.0,2,40
499,others,469.0,1,25.0,1,230
500,Marathahalli,3800.0,4,250.0,4,161
501,Kambipura,883.0,2,29.0,2,123
502,GM Palaya,1820.0,2,86.0,3,78
503,Singasandra,1440.0,2,65.0,3,201
504,others,3600.0,4,160.0,6,230
505,Mahadevpura,1225.0,2,48.0,2,156
506,Chikkalasandra,875.0,2,52.8,2,59
507,Jalahalli East,750.0,1,40.0,1,112
508,6th Phase JP Nagar,1180.0,2,80.0,2,5
509,Haralur Road,1194.0,2,47.0,2,90
510,Hennur Road,1500.0,2,62.0,3,96
511,others,1160.0,2,52.2,2,230
512,Sarjapur,1128.0,2,60.0,2,193
513,Sarjapur  Road,1210.0,2,58.0,2,194
514,Kanakpura Road,1100.0,2,58.0,3,127
515,Bommasandra,1200.0,3,46.0,3,48
516,Haralur Road,3385.0,5,260.0,4,90
517,others,1641.0,3,66.0,3,230
518,Horamavu Agara,1200.0,2,45.0,2,98
519,Raja Rajeshwari Nagar,1260.0,2,67.39,2,184
520,Mahadevpura,1720.0,3,78.0,3,156
521,Yelahanka,1132.5,2,48.13,2,226
522,Yelahanka,1210.0,2,45.98,2,226
523,Bisuvanahalli,1075.0,2,45.0,3,46
524,Thanisandra,1702.0,3,130.0,3,209
525,Raja Rajeshwari Nagar,1141.0,2,38.55,2,184
526,others,2072.0,3,108.0,3,230
527,JP Nagar,5520.0,0,375.0,5,109
528,others,1200.0,2,70.0,3,230
529,others,1350.0,3,77.0,3,230
530,others,1180.0,2,78.34,3,230
531,Bannerghatta Road,1640.0,2,120.0,3,34
532,Kodichikkanahalli,1190.0,2,57.0,3,138
533,Marathahalli,1019.0,2,49.85,2,161
534,Akshaya Nagar,1250.0,3,40.0,3,11
535,Whitefield,1140.0,2,56.0,2,224
536,Lingadheeranahalli,1683.0,3,109.0,3,154
537,Kaggadasapura,1515.0,3,83.3,3,118
538,Hoodi,2118.0,4,111.0,4,97
539,Bannerghatta Road,1380.0,3,58.0,4,34
540,Varthur Road,1083.0,2,61.75,2,218
541,others,2300.0,3,120.0,3,230
542,others,1240.0,2,60.0,2,230
543,others,1750.0,3,120.0,3,230
544,others,1230.0,2,43.48,2,230
545,Abbigere,985.0,2,40.39,2,10
546,Tindlu,1500.0,2,87.0,3,213
547,others,950.0,2,44.0,2,230
548,Kothanur,1580.0,3,76.0,3,146
549,Hennur Road,2264.0,3,159.0,3,96
550,Kammasandra,810.0,2,24.5,2,125
551,others,1045.0,2,45.0,2,230
552,Hebbal,1337.0,2,82.0,2,92
553,Begur Road,1500.0,2,54.0,3,39
554,Whitefield,1640.0,4,91.0,3,224
555,others,1570.0,3,62.0,3,230
556,Gubbalala,1470.0,2,82.0,3,84
557,Kengeri,1160.0,2,40.61,2,135
558,7th Phase JP Nagar,1050.0,2,71.0,2,6
559,Bannerghatta Road,1460.0,2,90.0,3,34
560,Hulimavu,1823.0,3,100.0,3,105
561,Electronic City,1094.0,2,42.0,2,74
562,Budigere,1153.0,2,57.0,2,52
563,others,1325.0,3,57.0,3,230
564,Jakkur,1590.0,2,125.0,3,110
565,others,1202.0,2,48.0,2,230
566,Haralur Road,1202.0,2,53.0,2,90
567,others,1200.0,2,62.5,2,230
568,Panathur,1688.0,3,118.0,3,180
569,Kaval Byrasandra,1020.0,2,52.0,2,133
570,Sarjapur,1185.0,2,47.0,2,193
571,Ramagondanahalli,1235.0,2,52.04,2,187
572,Banashankari,1077.0,2,37.64,2,26
573,Kengeri Satellite Town,1415.0,2,66.0,3,136
574,EPIP Zone,2330.0,3,162.0,3,73
575,Whitefield,805.0,2,35.0,2,224
576,others,425.0,1,20.03,1,230
577,Whitefield,1155.0,2,59.95,2,224
578,Anekal,656.0,2,22.0,2,17
579,others,1100.0,2,48.0,2,230
580,Mahadevpura,1150.0,2,52.0,2,156
581,Whitefield,2280.0,4,126.0,3,224
582,Hegde Nagar,1341.0,2,97.0,2,94
583,Jakkur,1279.0,2,77.0,2,110
584,Electronic City Phase II,2225.0,4,98.88,4,75
585,Thanisandra,1185.0,2,43.51,2,209
586,others,1750.0,3,85.0,3,230
587,Kudlu,1152.0,2,53.5,2,147
588,Varthur Road,2760.0,4,155.0,4,218
589,5th Phase JP Nagar,1070.0,2,39.0,2,4
590,Uttarahalli,1101.0,2,45.0,2,216
591,others,775.0,2,55.0,2,230
592,Yeshwanthpur,667.0,1,36.85,1,229
